trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",25,0,-152.3287220110206,"{0: 10, 1: 3, 2: 11, 3: 0, 4: 1}",0
2,False,"{'a': 0.7, 'e': 0.9704455335485082}",20,0,-147.3155154728304,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.7, 'e': 0.9417645335842487}",20,0,-98.20652593044854,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.9139311852712282}",20,0,-45.68313853180633,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.8869204367171575}",20,0,-65.22926560696212,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.8607079764250578}",20,0,-17.409928377815408,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.835270211411272}",25,17,-34.15049205387386,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.7, 'e': 0.8105842459701871}",20,7,-7.182585321261062,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.7, 'e': 0.7866278610665535}",20,0,-2.7757214977611726,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.7633794943368531}",30,0,-143.47452324898836,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.7, 'e': 0.7408182206817179}",20,0,-129.01394978490225,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.7, 'e': 0.7189237334319262}",20,0,-16.428933690046353,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.6976763260710311}",30,0,-113.13671260855007,"{0: 19, 1: 6, 2: 2, 3: 2, 4: 1}",0
14,False,"{'a': 0.7, 'e': 0.6770568744981647}",30,0,-203.9323379814888,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 5}",0
15,False,"{'a': 0.7, 'e': 0.6570468198150567}",20,0,-94.87474703193223,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.7, 'e': 0.6376281516217733}",20,0,-69.08759485496165,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.7, 'e': 0.6187833918061408}",20,8,-47.33404176036078,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.7, 'e': 0.6004955788122659}",25,12,-41.03562330151206,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 0}",1
19,False,"{'a': 0.7, 'e': 0.5827482523739896}",25,10,-26.708658897652857,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.7, 'e': 0.5655254386995372}",25,0,-86.18315820204033,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.7, 'e': 0.5488116360940265}",20,0,-111.51093711599914,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
22,False,"{'a': 0.7, 'e': 0.5325918010068972}",20,6,-2.9083691844463395,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.7, 'e': 0.5168513344916993}",25,0,-23.002793838778967,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
24,False,"{'a': 0.7, 'e': 0.5015760690660556}",25,0,-70.42653070245194,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
25,False,"{'a': 0.7, 'e': 0.4867522559599717}",20,0,-85.24911182485609,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",1
26,False,"{'a': 0.7, 'e': 0.47236655274101474}",30,4,-53.228171788673286,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 1}",1
27,False,"{'a': 0.7, 'e': 0.45840601130522357}",20,2,-28.79408931868222,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 1}",1
28,False,"{'a': 0.7, 'e': 0.44485806622294116}",25,0,-52.920959707824636,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.7, 'e': 0.43171052342907973}",20,4,13.32589833831386,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.7, 'e': 0.418951549247639}",30,0,-9.963542467876316,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
31,False,"{'a': 0.7, 'e': 0.40656965974059917}",20,8,21.1869383159812,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.7, 'e': 0.3945537103716012}",25,16,12.679692797128302,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.7, 'e': 0.38289288597511206}",20,0,-20.580233769518713,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
34,False,"{'a': 0.7, 'e': 0.3715766910220457}",20,0,-104.7219774446256,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
35,False,"{'a': 0.7, 'e': 0.3605949401730783}",20,8,-63.42449499828197,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
36,False,"{'a': 0.7, 'e': 0.3499377491111553}",20,6,4.311783743500318,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.7, 'e': 0.33959552564493917}",30,12,2.5433843784372785,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.7, 'e': 0.3295589610751891}",25,13,24.00659290401595,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.7, 'e': 0.31981902181630395}",20,8,-3.2847033802260652,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.7, 'e': 0.31036694126548503}",25,5,-90.63543239722227,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",1
41,False,"{'a': 0.7, 'e': 0.30119421191220214}",20,0,-27.26481399013381,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
42,False,"{'a': 0.7, 'e': 0.2922925776808594}",30,17,23.426979084408284,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.7, 'e': 0.2836540264997704}",35,26,3.4425770376779434,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.7, 'e': 0.27527078308975234}",20,10,20.443278113647537,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.7, 'e': 0.26713530196585045}",20,14,-1.2442176189166725,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.25924026064589156}",25,16,-3.4753826498013725,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.25157855305975657}",25,7,12.750448755264063,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.2441432831534371}",20,10,-54.11870415230566,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
49,False,"{'a': 0.7, 'e': 0.2369277586821218}",20,0,-47.356305720728706,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",1
