trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.42968435479182,"{0: 9, 1: 5, 2: 2, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.49339652123507,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.97410571122815,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.9215933413481,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-86.95876752141808,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.73784399831484,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-236.6028822410289,"{0: 16, 1: 2, 2: 6, 3: 3, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.0425352992884,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.62299482850457,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.91697478847476,"{0: 13, 1: 4, 2: 0, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.081763800718,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-225.32562790530415,"{0: 16, 1: 1, 2: 8, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.41115366517562,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.845221168680155,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,3,-7.613753000706677,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.30310590086725,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,10,-69.22082435342764,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.90371821831633,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.35134094442334,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.97129307215474,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-135.33943355650683,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-201.62729511962084,"{0: 9, 1: 3, 2: 2, 3: 3, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.1982810233968,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.66552096183857,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.2415487839976,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-131.45218021972306,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.12816086185103,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-251.55176951876456,"{0: 9, 1: 3, 2: 7, 3: 3, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,13,-1.6184675105709052,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-182.53182591147063,"{0: 15, 1: 3, 2: 10, 3: 0, 4: 2}",0
